Tool_Wear,Depth_of_Cut_ap,Cutting_Speed_vc,Feed_Rate_f,Surface_Roughness_Ra,Fx,Fy,Fz,F
0.0,0.25,350,0.07,0.391,49.23,44.46,21.07,69.60049856
0.0,0.25,350,0.07,0.359,49.23,44.46,21.07,69.60049856
0.0,0.25,350,0.07,0.421,49.23,44.46,21.07,69.60049856
0.0,0.25,350,0.07,0.45,49.23,44.46,21.07,69.60049856
0.0,0.25,350,0.07,0.36,49.23,44.46,21.07,69.60049856
0.0,0.25,350,0.07,0.383,49.23,44.46,21.07,69.60049856
0.0,0.25,350,0.13,1.181,81.03,59.21,25.94,103.6560109
0.0,0.25,350,0.13,1.139,81.03,59.21,25.94,103.6560109
0.0,0.25,350,0.13,1.146,81.03,59.21,25.94,103.6560109
0.0,0.25,350,0.13,1.125,81.03,59.21,25.94,103.6560109
0.0,0.25,350,0.13,1.191,81.03,59.21,25.94,103.6560109
0.0,0.25,350,0.13,1.181,81.03,59.21,25.94,103.6560109
0.0,0.25,350,0.1,0.612,65.48,49.71,22.31,85.18480264
0.0,0.25,350,0.1,0.621,65.48,49.71,22.31,85.18480264
0.0,0.25,350,0.1,0.628,65.48,49.71,22.31,85.18480264
0.0,0.25,350,0.1,0.628,65.48,49.71,22.31,85.18480264
0.0,0.25,350,0.1,0.724,65.48,49.71,22.31,85.18480264
0.0,0.25,350,0.1,0.618,65.48,49.71,22.31,85.18480264
0.0,0.25,390,0.1,0.709,65.95,50.85,22.3,86.21145516
0.0,0.25,390,0.1,0.692,65.95,50.85,22.3,86.21145516
0.0,0.25,390,0.1,0.703,65.95,50.85,22.3,86.21145516
0.0,0.25,390,0.1,0.731,65.95,50.85,22.3,86.21145516
0.0,0.25,390,0.1,0.734,65.95,50.85,22.3,86.21145516
0.0,0.25,390,0.1,0.735,65.95,50.85,22.3,86.21145516
0.0,0.25,390,0.13,1.111,84.34,57.88,26.26,105.6073747
0.0,0.25,390,0.13,1.086,84.34,57.88,26.26,105.6073747
0.0,0.25,390,0.13,1.149,84.34,57.88,26.26,105.6073747
0.0,0.25,390,0.13,1.086,84.34,57.88,26.26,105.6073747
0.0,0.25,390,0.13,1.115,84.34,57.88,26.26,105.6073747
0.0,0.25,390,0.13,1.07,84.34,57.88,26.26,105.6073747
0.0,0.25,390,0.07,0.362,51.59,42.31,18.87,69.33787637
0.0,0.25,390,0.07,0.293,51.59,42.31,18.87,69.33787637
0.0,0.25,390,0.07,0.316,51.59,42.31,18.87,69.33787637
0.0,0.25,390,0.07,0.309,51.59,42.31,18.87,69.33787637
0.0,0.25,390,0.07,0.326,51.59,42.31,18.87,69.33787637
0.0,0.25,390,0.07,0.324,51.59,42.31,18.87,69.33787637
0.0,0.25,310,0.1,0.681,69.13,50.07,20.51,87.78736754
0.0,0.25,310,0.1,0.677,69.13,50.07,20.51,87.78736754
0.0,0.25,310,0.1,0.684,69.13,50.07,20.51,87.78736754
0.0,0.25,310,0.1,0.667,69.13,50.07,20.51,87.78736754
0.0,0.25,310,0.1,0.671,69.13,50.07,20.51,87.78736754
0.0,0.25,310,0.1,0.67,69.13,50.07,20.51,87.78736754
0.0,0.25,310,0.07,0.227,55.44,41.6,19.53,72.0109332
0.0,0.25,310,0.07,0.247,55.44,41.6,19.53,72.0109332
0.0,0.25,310,0.07,0.264,55.44,41.6,19.53,72.0109332
0.0,0.25,310,0.07,0.219,55.44,41.6,19.53,72.0109332
0.0,0.25,310,0.07,0.211,55.44,41.6,19.53,72.0109332
0.0,0.25,310,0.07,0.235,55.44,41.6,19.53,72.0109332
0.0,0.25,310,0.13,0.832,84.61,56.61,24.09,104.6129643
0.0,0.25,310,0.13,0.8,84.61,56.61,24.09,104.6129643
0.0,0.25,310,0.13,0.846,84.61,56.61,24.09,104.6129643
0.0,0.25,310,0.13,0.798,84.61,56.61,24.09,104.6129643
0.0,0.25,310,0.13,0.847,84.61,56.61,24.09,104.6129643
0.0,0.25,310,0.13,0.856,84.61,56.61,24.09,104.6129643
0.0,0.5,310,0.07,0.256,110.5,61.45,68.08,143.6009711
0.0,0.5,310,0.07,0.257,110.5,61.45,68.08,143.6009711
0.0,0.5,310,0.07,0.243,110.5,61.45,68.08,143.6009711
0.0,0.5,310,0.07,0.292,110.5,61.45,68.08,143.6009711
0.0,0.5,310,0.07,0.264,110.5,61.45,68.08,143.6009711
0.0,0.5,310,0.07,0.303,110.5,61.45,68.08,143.6009711
0.0,0.5,310,0.13,1.133,171.5,83.49,75.56,205.1636998
0.0,0.5,310,0.13,1.046,171.5,83.49,75.56,205.1636998
0.0,0.5,310,0.13,1.098,171.5,83.49,75.56,205.1636998
0.0,0.5,310,0.13,1.115,171.5,83.49,75.56,205.1636998
0.0,0.5,310,0.13,1.121,171.5,83.49,75.56,205.1636998
0.0,0.5,310,0.13,1.118,171.5,83.49,75.56,205.1636998
0.0,0.5,310,0.1,0.501,141.5,69.27,67.71,171.4795236
0.0,0.5,310,0.1,0.521,141.5,69.27,67.71,171.4795236
0.0,0.5,310,0.1,0.538,141.5,69.27,67.71,171.4795236
0.0,0.5,310,0.1,0.52,141.5,69.27,67.71,171.4795236
0.0,0.5,310,0.1,0.511,141.5,69.27,67.71,171.4795236
0.0,0.5,310,0.1,0.514,141.5,69.27,67.71,171.4795236
0.0,0.5,390,0.1,0.567,141.9,70.27,65.19,171.2402377
0.0,0.5,390,0.1,0.596,141.9,70.27,65.19,171.2402377
0.0,0.5,390,0.1,0.544,141.9,70.27,65.19,171.2402377
0.0,0.5,390,0.1,0.55,141.9,70.27,65.19,171.2402377
0.0,0.5,390,0.1,0.532,141.9,70.27,65.19,171.2402377
0.0,0.5,390,0.1,0.532,141.9,70.27,65.19,171.2402377
0.0,0.5,390,0.07,0.37,110.1,56.55,61.05,138.0109235
0.0,0.5,390,0.07,0.342,110.1,56.55,61.05,138.0109235
0.0,0.5,390,0.07,0.371,110.1,56.55,61.05,138.0109235
0.0,0.5,390,0.07,0.355,110.1,56.55,61.05,138.0109235
0.0,0.5,390,0.07,0.363,110.1,56.55,61.05,138.0109235
0.0,0.5,390,0.07,0.36,110.1,56.55,61.05,138.0109235
0.0,0.5,390,0.13,0.519,173.5,82.13,71.8,204.9459121
0.0,0.5,390,0.13,0.495,173.5,82.13,71.8,204.9459121
0.0,0.5,390,0.13,0.517,173.5,82.13,71.8,204.9459121
0.0,0.5,390,0.13,0.505,173.5,82.13,71.8,204.9459121
0.0,0.5,390,0.13,0.521,173.5,82.13,71.8,204.9459121
0.0,0.5,390,0.13,0.541,173.5,82.13,71.8,204.9459121
0.0,0.5,350,0.1,0.623,144.7,70.44,66.44,174.1096126
0.0,0.5,350,0.1,0.603,144.7,70.44,66.44,174.1096126
0.0,0.5,350,0.1,0.606,144.7,70.44,66.44,174.1096126
0.0,0.5,350,0.1,0.616,144.7,70.44,66.44,174.1096126
0.0,0.5,350,0.1,0.602,144.7,70.44,66.44,174.1096126
0.0,0.5,350,0.1,0.595,144.7,70.44,66.44,174.1096126
0.0,0.5,350,0.13,0.52,179.8,81.93,75.26,211.4347003
0.0,0.5,350,0.13,0.524,179.8,81.93,75.26,211.4347003
0.0,0.5,350,0.13,0.505,179.8,81.93,75.26,211.4347003
0.0,0.5,350,0.13,0.569,179.8,81.93,75.26,211.4347003
0.0,0.5,350,0.13,0.573,179.8,81.93,75.26,211.4347003
0.0,0.5,350,0.13,0.554,179.8,81.93,75.26,211.4347003
0.0,0.5,350,0.07,0.356,107.7,52.78,60.21,134.2023193
0.0,0.5,350,0.07,0.334,107.7,52.78,60.21,134.2023193
0.0,0.5,350,0.07,0.334,107.7,52.78,60.21,134.2023193
0.0,0.5,350,0.07,0.337,107.7,52.78,60.21,134.2023193
0.0,0.5,350,0.07,0.254,107.7,52.78,60.21,134.2023193
0.0,0.5,350,0.07,0.255,107.7,52.78,60.21,134.2023193
0.0,0.8,350,0.07,0.38,159.5,62.91,115.8,206.8998746
0.0,0.8,350,0.07,0.366,159.5,62.91,115.8,206.8998746
0.0,0.8,350,0.07,0.383,159.5,62.91,115.8,206.8998746
0.0,0.8,350,0.07,0.374,159.5,62.91,115.8,206.8998746
0.0,0.8,350,0.07,0.379,159.5,62.91,115.8,206.8998746
0.0,0.8,350,0.07,0.383,159.5,62.91,115.8,206.8998746
0.0,0.8,350,0.13,1.46,272.2,100.7,219.1,363.6456242
0.0,0.8,350,0.13,1.444,272.2,100.7,219.1,363.6456242
0.0,0.8,350,0.13,1.387,272.2,100.7,219.1,363.6456242
0.0,0.8,350,0.13,1.433,272.2,100.7,219.1,363.6456242
0.0,0.8,350,0.13,1.417,272.2,100.7,219.1,363.6456242
0.0,0.8,350,0.13,1.382,272.2,100.7,219.1,363.6456242
0.0,0.8,350,0.1,0.929,213.0,77.32,190.3,295.9078782
0.0,0.8,350,0.1,0.888,213.0,77.32,190.3,295.9078782
0.0,0.8,350,0.1,0.799,213.0,77.32,190.3,295.9078782
0.0,0.8,350,0.1,0.867,213.0,77.32,190.3,295.9078782
0.0,0.8,350,0.1,0.729,213.0,77.32,190.3,295.9078782
0.0,0.8,350,0.1,0.743,213.0,77.32,190.3,295.9078782
0.0,0.8,390,0.07,0.47,162.8,60.35,116.9,209.3121413
0.0,0.8,390,0.07,0.392,162.8,60.35,116.9,209.3121413
0.0,0.8,390,0.07,0.503,162.8,60.35,116.9,209.3121413
0.0,0.8,390,0.07,0.535,162.8,60.35,116.9,209.3121413
0.0,0.8,390,0.07,0.388,162.8,60.35,116.9,209.3121413
0.0,0.8,390,0.07,0.344,162.8,60.35,116.9,209.3121413
0.0,0.8,390,0.1,0.699,215.7,75.94,193.2,299.3653514
0.0,0.8,390,0.1,0.879,215.7,75.94,193.2,299.3653514
0.0,0.8,390,0.1,0.882,215.7,75.94,193.2,299.3653514
0.0,0.8,390,0.1,0.858,215.7,75.94,193.2,299.3653514
0.0,0.8,390,0.1,0.536,215.7,75.94,193.2,299.3653514
0.0,0.8,390,0.1,0.449,215.7,75.94,193.2,299.3653514
0.0,0.8,390,0.13,0.827,272.5,98.6,214.3,360.4201715
0.0,0.8,390,0.13,1.195,272.5,98.6,214.3,360.4201715
0.0,0.8,390,0.13,1.171,272.5,98.6,214.3,360.4201715
0.0,0.8,390,0.13,0.846,272.5,98.6,214.3,360.4201715
0.0,0.8,390,0.13,1.157,272.5,98.6,214.3,360.4201715
0.0,0.8,390,0.13,1.198,272.5,98.6,214.3,360.4201715
0.0,0.8,310,0.13,0.855,283.5,100.2,221.5,373.4629031
0.0,0.8,310,0.13,1.19,283.5,100.2,221.5,373.4629031
0.0,0.8,310,0.13,1.158,283.5,100.2,221.5,373.4629031
0.0,0.8,310,0.13,0.862,283.5,100.2,221.5,373.4629031
0.0,0.8,310,0.13,1.213,283.5,100.2,221.5,373.4629031
0.0,0.8,310,0.13,1.188,283.5,100.2,221.5,373.4629031
0.0,0.8,310,0.07,0.391,169.4,61.43,121.5,217.3298298
0.0,0.8,310,0.07,0.375,169.4,61.43,121.5,217.3298298
0.0,0.8,310,0.07,0.404,169.4,61.43,121.5,217.3298298
0.0,0.8,310,0.07,0.36,169.4,61.43,121.5,217.3298298
0.0,0.8,310,0.07,0.386,169.4,61.43,121.5,217.3298298
0.0,0.8,310,0.07,0.392,169.4,61.43,121.5,217.3298298
0.0,0.8,310,0.1,0.615,226.3,78.35,218.9,324.4497226
0.0,0.8,310,0.1,0.586,226.3,78.35,218.9,324.4497226
0.0,0.8,310,0.1,0.599,226.3,78.35,218.9,324.4497226
0.0,0.8,310,0.1,0.588,226.3,78.35,218.9,324.4497226
0.0,0.8,310,0.1,0.654,226.3,78.35,218.9,324.4497226
0.0,0.8,310,0.1,0.598,226.3,78.35,218.9,324.4497226
0.0,0.25,350,0.1,1.032,64.9,55.46,27.28,89.62153759
0.0,0.25,350,0.1,1.039,64.9,55.46,27.28,89.62153759
0.0,0.25,350,0.1,1.062,64.9,55.46,27.28,89.62153759
0.0,0.25,350,0.1,1.036,64.9,55.46,27.28,89.62153759
0.0,0.25,350,0.1,1.059,64.9,55.46,27.28,89.62153759
0.0,0.25,350,0.1,1.059,64.9,55.46,27.28,89.62153759
0.0,0.25,350,0.13,1.812,79.1,61.07,24.84,102.9727173
0.0,0.25,350,0.13,1.634,79.1,61.07,24.84,102.9727173
0.0,0.25,350,0.13,1.798,79.1,61.07,24.84,102.9727173
0.0,0.25,350,0.13,1.736,79.1,61.07,24.84,102.9727173
0.0,0.25,350,0.13,1.777,79.1,61.07,24.84,102.9727173
0.0,0.25,350,0.13,1.735,79.1,61.07,24.84,102.9727173
0.0,0.25,350,0.07,0.677,52.04,44.26,22.9,72.05219775
0.0,0.25,350,0.07,0.586,52.04,44.26,22.9,72.05219775
0.0,0.25,350,0.07,0.64,52.04,44.26,22.9,72.05219775
0.0,0.25,350,0.07,0.598,52.04,44.26,22.9,72.05219775
0.0,0.25,350,0.07,0.642,52.04,44.26,22.9,72.05219775
0.0,0.25,350,0.07,0.656,52.04,44.26,22.9,72.05219775
0.0,0.25,390,0.13,0.988,80.14,59.87,25.76,103.2976965
0.0,0.25,390,0.13,1.003,80.14,59.87,25.76,103.2976965
0.0,0.25,390,0.13,1.551,80.14,59.87,25.76,103.2976965
0.0,0.25,390,0.13,0.996,80.14,59.87,25.76,103.2976965
0.0,0.25,390,0.13,1.541,80.14,59.87,25.76,103.2976965
0.0,0.25,390,0.13,1.504,80.14,59.87,25.76,103.2976965
0.0,0.25,390,0.1,0.999,66.41,51.77,23.69,87.4736366
0.0,0.25,390,0.1,0.96,66.41,51.77,23.69,87.4736366
0.0,0.25,390,0.1,0.806,66.41,51.77,23.69,87.4736366
0.0,0.25,390,0.1,1.009,66.41,51.77,23.69,87.4736366
0.0,0.25,390,0.1,0.794,66.41,51.77,23.69,87.4736366
0.0,0.25,390,0.1,1.019,66.41,51.77,23.69,87.4736366
0.0,0.25,390,0.07,0.49,52.92,44.28,22.37,72.53731247
0.0,0.25,390,0.07,0.462,52.92,44.28,22.37,72.53731247
0.0,0.25,390,0.07,0.453,52.92,44.28,22.37,72.53731247
0.0,0.25,390,0.07,0.49,52.92,44.28,22.37,72.53731247
0.0,0.25,390,0.07,0.457,52.92,44.28,22.37,72.53731247
0.0,0.25,390,0.07,0.468,52.92,44.28,22.37,72.53731247
0.0,0.25,310,0.1,0.878,68.78,49.87,23.98,88.27652972
0.0,0.25,310,0.1,0.858,68.78,49.87,23.98,88.27652972
0.0,0.25,310,0.1,0.861,68.78,49.87,23.98,88.27652972
0.0,0.25,310,0.1,0.875,68.78,49.87,23.98,88.27652972
0.0,0.25,310,0.1,0.863,68.78,49.87,23.98,88.27652972
0.0,0.25,310,0.1,0.882,68.78,49.87,23.98,88.27652972
0.0,0.25,310,0.13,1.18,83.42,59.72,25.89,105.8095785
0.0,0.25,310,0.13,1.175,83.42,59.72,25.89,105.8095785
0.0,0.25,310,0.13,1.126,83.42,59.72,25.89,105.8095785
0.0,0.25,310,0.13,1.178,83.42,59.72,25.89,105.8095785
0.0,0.25,310,0.13,1.172,83.42,59.72,25.89,105.8095785
0.0,0.25,310,0.13,1.171,83.42,59.72,25.89,105.8095785
0.0,0.25,310,0.07,0.393,55.84,42.95,22.11,73.83535874
0.0,0.25,310,0.07,0.388,55.84,42.95,22.11,73.83535874
0.0,0.25,310,0.07,0.378,55.84,42.95,22.11,73.83535874
0.0,0.25,310,0.07,0.39,55.84,42.95,22.11,73.83535874
0.0,0.25,310,0.07,0.402,55.84,42.95,22.11,73.83535874
0.0,0.25,310,0.07,0.397,55.84,42.95,22.11,73.83535874
0.0,0.5,310,0.1,0.944,139.5,69.35,73.61,172.3023639
0.0,0.5,310,0.1,0.894,139.5,69.35,73.61,172.3023639
0.0,0.5,310,0.1,0.888,139.5,69.35,73.61,172.3023639
0.0,0.5,310,0.1,0.896,139.5,69.35,73.61,172.3023639
0.0,0.5,310,0.1,0.91,139.5,69.35,73.61,172.3023639
0.0,0.5,310,0.1,0.91,139.5,69.35,73.61,172.3023639
0.0,0.5,310,0.13,0.952,176.5,87.39,82.71,213.6122801
0.0,0.5,310,0.13,1.167,176.5,87.39,82.71,213.6122801
0.0,0.5,310,0.13,1.194,176.5,87.39,82.71,213.6122801
0.0,0.5,310,0.13,1.153,176.5,87.39,82.71,213.6122801
0.0,0.5,310,0.13,1.173,176.5,87.39,82.71,213.6122801
0.0,0.5,310,0.13,1.104,176.5,87.39,82.71,213.6122801
0.0,0.5,310,0.07,0.456,109.1,57.9,63.82,139.0259415
0.0,0.5,310,0.07,0.453,109.1,57.9,63.82,139.0259415
0.0,0.5,310,0.07,0.452,109.1,57.9,63.82,139.0259415
0.0,0.5,310,0.07,0.451,109.1,57.9,63.82,139.0259415
0.0,0.5,310,0.07,0.442,109.1,57.9,63.82,139.0259415
0.0,0.5,310,0.07,0.445,109.1,57.9,63.82,139.0259415
0.0,0.5,350,0.13,0.968,177.3,85.72,79.43,212.3495545
0.0,0.5,350,0.13,0.96,177.3,85.72,79.43,212.3495545
0.0,0.5,350,0.13,0.965,177.3,85.72,79.43,212.3495545
0.0,0.5,350,0.13,0.978,177.3,85.72,79.43,212.3495545
0.0,0.5,350,0.13,0.968,177.3,85.72,79.43,212.3495545
0.0,0.5,350,0.13,0.969,177.3,85.72,79.43,212.3495545
0.0,0.5,350,0.1,0.653,143.5,69.57,71.62,174.8189329
0.0,0.5,350,0.1,0.625,143.5,69.57,71.62,174.8189329
0.0,0.5,350,0.1,0.616,143.5,69.57,71.62,174.8189329
0.0,0.5,350,0.1,0.605,143.5,69.57,71.62,174.8189329
0.0,0.5,350,0.1,0.622,143.5,69.57,71.62,174.8189329
0.0,0.5,350,0.1,0.622,143.5,69.57,71.62,174.8189329
0.0,0.5,350,0.07,0.369,112.4,57.46,63.16,141.1545153
0.0,0.5,350,0.07,0.407,112.4,57.46,63.16,141.1545153
0.0,0.5,350,0.07,0.403,112.4,57.46,63.16,141.1545153
0.0,0.5,350,0.07,0.404,112.4,57.46,63.16,141.1545153
0.0,0.5,350,0.07,0.403,112.4,57.46,63.16,141.1545153
0.0,0.5,350,0.07,0.362,112.4,57.46,63.16,141.1545153
0.0,0.5,390,0.07,0.255,116.2,58.82,65.47,145.7688351
0.0,0.5,390,0.07,0.258,116.2,58.82,65.47,145.7688351
0.0,0.5,390,0.07,0.267,116.2,58.82,65.47,145.7688351
0.0,0.5,390,0.07,0.295,116.2,58.82,65.47,145.7688351
0.0,0.5,390,0.07,0.288,116.2,58.82,65.47,145.7688351
0.0,0.5,390,0.07,0.275,116.2,58.82,65.47,145.7688351
0.0,0.5,390,0.1,0.413,144.9,69.67,69.12,175.0071236
0.0,0.5,390,0.1,0.396,144.9,69.67,69.12,175.0071236
0.0,0.5,390,0.1,0.389,144.9,69.67,69.12,175.0071236
0.0,0.5,390,0.1,0.367,144.9,69.67,69.12,175.0071236
0.0,0.5,390,0.1,0.406,144.9,69.67,69.12,175.0071236
0.0,0.5,390,0.1,0.418,144.9,69.67,69.12,175.0071236
0.0,0.5,390,0.13,0.668,177.5,82.13,74.87,209.4208772
0.0,0.5,390,0.13,0.658,177.5,82.13,74.87,209.4208772
0.0,0.5,390,0.13,0.662,177.5,82.13,74.87,209.4208772
0.0,0.5,390,0.13,0.668,177.5,82.13,74.87,209.4208772
0.0,0.5,390,0.13,0.691,177.5,82.13,74.87,209.4208772
0.0,0.5,390,0.13,0.66,177.5,82.13,74.87,209.4208772
0.0,0.8,310,0.1,1.014,224.2,77.48,227.5,328.6716301
0.0,0.8,310,0.1,0.974,224.2,77.48,227.5,328.6716301
0.0,0.8,310,0.1,0.977,224.2,77.48,227.5,328.6716301
0.0,0.8,310,0.1,0.966,224.2,77.48,227.5,328.6716301
0.0,0.8,310,0.1,0.929,224.2,77.48,227.5,328.6716301
0.0,0.8,310,0.1,0.918,224.2,77.48,227.5,328.6716301
0.0,0.8,310,0.07,0.653,165.7,62.01,122.1,214.9654393
0.0,0.8,310,0.07,0.603,165.7,62.01,122.1,214.9654393
0.0,0.8,310,0.07,0.615,165.7,62.01,122.1,214.9654393
0.0,0.8,310,0.07,0.607,165.7,62.01,122.1,214.9654393
0.0,0.8,310,0.07,0.681,165.7,62.01,122.1,214.9654393
0.0,0.8,310,0.07,0.753,165.7,62.01,122.1,214.9654393
