Tool_Wear,Depth_of_Cut_ap,Cutting_Speed_vc,Feed_Rate_f,Surface_Roughness_Ra,Resultant Force
0.0,0.25,350,0.07,0.391,69.60049856
0.0,0.25,350,0.07,0.359,69.60049856
0.0,0.25,350,0.07,0.421,69.60049856
0.0,0.25,350,0.07,0.45,69.60049856
0.0,0.25,350,0.07,0.36,69.60049856
0.0,0.25,350,0.07,0.383,69.60049856
0.0,0.25,350,0.13,1.181,103.6560109
0.0,0.25,350,0.13,1.139,103.6560109
0.0,0.25,350,0.13,1.146,103.6560109
0.0,0.25,350,0.13,1.125,103.6560109
0.0,0.25,350,0.13,1.191,103.6560109
0.0,0.25,350,0.13,1.181,103.6560109
0.0,0.25,350,0.1,0.612,85.18480264
0.0,0.25,350,0.1,0.621,85.18480264
0.0,0.25,350,0.1,0.628,85.18480264
0.0,0.25,350,0.1,0.628,85.18480264
0.0,0.25,350,0.1,0.724,85.18480264
0.0,0.25,350,0.1,0.618,85.18480264
0.0,0.25,390,0.1,0.709,86.21145516
0.0,0.25,390,0.1,0.692,86.21145516
0.0,0.25,390,0.1,0.703,86.21145516
0.0,0.25,390,0.1,0.731,86.21145516
0.0,0.25,390,0.1,0.734,86.21145516
0.0,0.25,390,0.1,0.735,86.21145516
0.0,0.25,390,0.13,1.111,105.6073747
0.0,0.25,390,0.13,1.086,105.6073747
0.0,0.25,390,0.13,1.149,105.6073747
0.0,0.25,390,0.13,1.086,105.6073747
0.0,0.25,390,0.13,1.115,105.6073747
0.0,0.25,390,0.13,1.07,105.6073747
0.0,0.25,390,0.07,0.362,69.33787637
0.0,0.25,390,0.07,0.293,69.33787637
0.0,0.25,390,0.07,0.316,69.33787637
0.0,0.25,390,0.07,0.309,69.33787637
0.0,0.25,390,0.07,0.326,69.33787637
0.0,0.25,390,0.07,0.324,69.33787637
0.0,0.25,310,0.1,0.681,87.78736754
0.0,0.25,310,0.1,0.677,87.78736754
0.0,0.25,310,0.1,0.684,87.78736754
0.0,0.25,310,0.1,0.667,87.78736754
0.0,0.25,310,0.1,0.671,87.78736754
0.0,0.25,310,0.1,0.67,87.78736754
0.0,0.25,310,0.07,0.227,72.0109332
0.0,0.25,310,0.07,0.247,72.0109332
0.0,0.25,310,0.07,0.264,72.0109332
0.0,0.25,310,0.07,0.219,72.0109332
0.0,0.25,310,0.07,0.211,72.0109332
0.0,0.25,310,0.07,0.235,72.0109332
0.0,0.25,310,0.13,0.832,104.6129643
0.0,0.25,310,0.13,0.8,104.6129643
0.0,0.25,310,0.13,0.846,104.6129643
0.0,0.25,310,0.13,0.798,104.6129643
0.0,0.25,310,0.13,0.847,104.6129643
0.0,0.25,310,0.13,0.856,104.6129643
0.0,0.5,310,0.07,0.256,143.6009711
0.0,0.5,310,0.07,0.257,143.6009711
0.0,0.5,310,0.07,0.243,143.6009711
0.0,0.5,310,0.07,0.292,143.6009711
0.0,0.5,310,0.07,0.264,143.6009711
0.0,0.5,310,0.07,0.303,143.6009711
0.0,0.5,310,0.13,1.133,205.1636998
0.0,0.5,310,0.13,1.046,205.1636998
0.0,0.5,310,0.13,1.098,205.1636998
0.0,0.5,310,0.13,1.115,205.1636998
0.0,0.5,310,0.13,1.121,205.1636998
0.0,0.5,310,0.13,1.118,205.1636998
0.0,0.5,310,0.1,0.501,171.4795236
0.0,0.5,310,0.1,0.521,171.4795236
0.0,0.5,310,0.1,0.538,171.4795236
0.0,0.5,310,0.1,0.52,171.4795236
0.0,0.5,310,0.1,0.511,171.4795236
0.0,0.5,310,0.1,0.514,171.4795236
0.0,0.5,390,0.1,0.567,171.2402377
0.0,0.5,390,0.1,0.596,171.2402377
0.0,0.5,390,0.1,0.544,171.2402377
0.0,0.5,390,0.1,0.55,171.2402377
0.0,0.5,390,0.1,0.532,171.2402377
0.0,0.5,390,0.1,0.532,171.2402377
0.0,0.5,390,0.07,0.37,138.0109235
0.0,0.5,390,0.07,0.342,138.0109235
0.0,0.5,390,0.07,0.371,138.0109235
0.0,0.5,390,0.07,0.355,138.0109235
0.0,0.5,390,0.07,0.363,138.0109235
0.0,0.5,390,0.07,0.36,138.0109235
0.0,0.5,390,0.13,0.519,204.9459121
0.0,0.5,390,0.13,0.495,204.9459121
0.0,0.5,390,0.13,0.517,204.9459121
0.0,0.5,390,0.13,0.505,204.9459121
0.0,0.5,390,0.13,0.521,204.9459121
0.0,0.5,390,0.13,0.541,204.9459121
0.0,0.5,350,0.1,0.623,174.1096126
0.0,0.5,350,0.1,0.603,174.1096126
0.0,0.5,350,0.1,0.606,174.1096126
0.0,0.5,350,0.1,0.616,174.1096126
0.0,0.5,350,0.1,0.602,174.1096126
0.0,0.5,350,0.1,0.595,174.1096126
0.0,0.5,350,0.13,0.52,211.4347003
0.0,0.5,350,0.13,0.524,211.4347003
0.0,0.5,350,0.13,0.505,211.4347003
0.0,0.5,350,0.13,0.569,211.4347003
0.0,0.5,350,0.13,0.573,211.4347003
0.0,0.5,350,0.13,0.554,211.4347003
